module,jsonKey,verdict,wireLine,matchedVerb,admin,accepts10,acceptsOnOff,verify,symptom
crash,crashCount,APP_READONLY,(none — app renders ReadingRow; no write is ever sent),none — no write is sent; hypothetical li,False,na,na,confirmed,"Display-only row in the app (correct behavior). Value is populated by the boot path from RTC memory (comment System_Settings.cpp:1861-1863, HardwareOne.cpp:1044"
crash,lastResetReason,APP_READONLY,(none — app renders ReadingRow; no write is ever sent),none — no write is sent; hypothetical li,False,na,na,confirmed,Display-only row in the app (correct behavior). Populated at boot from RTC memory (System_Settings.cpp:1861-1863); no user write path exists on either side.
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,"toggle flips, snaps back on 700ms re-fetch; 'Unknown command: enabled on' in console log"
debug,sessions,DEAD,sessions on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,cookies,DEAD,cookies on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,login,MISFIRE,login on,login,False,no,no,confirmed,toggle snaps back; login usage error in console. Harmless only because 'on'/'off' is a single arg — a 2-word token would trigger a real authentication attempt (
debug,bootId,DEAD,bootId on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,handlers,DEAD,handlers on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,requests,DEAD,requests on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,responses,DEAD,responses on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,streaming,DEAD,streaming on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,connection,DEAD,connection on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,events,MISFIRE,events on,none,False,na,na,corrected,value snaps back on re-fetch; 'Unknown command' in console
debug,broadcast,MISFIRE,broadcast on,none,False,na,na,corrected,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,connection,DEAD,connection on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,config,DEAD,config on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,scanning,DEAD,scanning on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,driver,DEAD,driver on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,files,MISFIRE,files on,files,True,no,no,confirmed,toggle snaps back; filesystem 'files' usage/quoting error (or admin-denied) in console; debugStorageFiles never written
debug,json,DEAD,json on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,settings,DEAD,settings on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,migration,DEAD,migration on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,permissions,DEAD,permissions on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,stream,DEAD,stream on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,core,DEAD,core on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,router,DEAD,router on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,mesh,DEAD,mesh on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,topology,DEAD,topology on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,metadata,DEAD,metadata on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,core,DEAD,core on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,gatt,DEAD,gatt on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,data,DEAD,data on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,boot,DEAD,boot on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,config,DEAD,config on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,tasks,DEAD,tasks on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,hardware,DEAD,hardware on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,enabled,DEAD,enabled on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,management,DEAD,management on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
debug,registration,DEAD,registration on,none,False,na,na,confirmed,value snaps back on re-fetch; 'Unknown command' in console
